,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76
C36,0.9198717948717948,0.9759615384615384,0.9722222222222222,0.9722222222222222,0.8385185185185186,0.8473282442748091,0.7876923076923077,0.7870229007633588,0.8512544802867383,0.8563218390804598,0.9255861365953109,0.8576998050682261,0.8629283489096573,0.7982758620689655,0.8036363636363636,0.8558558558558559,0.8603174603174604,0.8580246913580247,0.8065420560747664,0.8036363636363636,0.8647619047619047,0.8045871559633028,0.8673267326732673,0.9376218323586745,0.9322033898305084,0.9348659003831418,0.9272030651340997,0.9353535353535354,0.9434343434343434,0.949685534591195,0.8838709677419355,0.89,0.9035714285714286,0.9,0.9072727272727272,0.9283018867924528,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C37,0.8543417366946778,0.9465020576131687,0.9745370370370371,0.9404761904761905,0.8381162619573216,0.8468013468013468,0.8466838931955211,0.7863636363636364,0.9186991869918699,0.855650522317189,0.9242424242424242,0.922566371681416,0.8621399176954733,0.855072463768116,0.8027027027027027,0.8578578578578578,0.8065420560747664,0.8036363636363636,0.8055555555555556,0.8593272171253823,0.9241452991452992,0.8036363636363636,0.865686274509804,0.9348659003831418,0.9676724137931034,0.9322033898305084,0.9310344827586207,0.9,0.9745370370370371,0.9465020576131687,0.9234972677595629,0.8868852459016393,0.9393939393939394,0.896551724137931,0.9035714285714286,0.924074074074074,0.9921875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C38,0.8543417366946778,0.9465020576131687,0.9404761904761905,0.9745370370370371,0.8381162619573216,0.8468013468013468,0.7870229007633588,0.7863636363636364,0.8506666666666667,0.9217391304347826,0.9242424242424242,0.8570048309178744,0.9240654205607477,0.7974358974358975,0.8565656565656565,0.8008849557522124,0.859538784067086,0.8036363636363636,0.8587746625129803,0.8565656565656565,0.8632075471698113,0.8572884811416922,0.922992299229923,0.9348659003831418,0.9296296296296296,0.9692982456140351,0.89,0.9325396825396826,0.9404761904761905,0.9740566037735849,0.8809523809523809,0.9222222222222223,0.9325396825396826,0.9298245614035088,0.9353535353535354,0.9538784067085954,0.9921875,0.9897959183673469,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C39,0.9202586206896551,0.9779411764705882,1.0,0.9740566037735849,0.8389261744966443,0.7857142857142857,0.847769028871391,0.7876923076923077,0.9194214876033058,0.8570048309178744,0.926954732510288,0.8557504873294347,0.8045871559633028,0.856440511307768,0.8045871559633028,0.9240654205607477,0.8611111111111112,0.8587746625129803,0.8075471698113208,0.8608515057113187,0.9270152505446623,0.8055555555555556,0.869,0.9404761904761905,0.9709821428571429,0.9376218323586745,0.9722222222222222,0.9382716049382716,0.9393939393939394,0.9072727272727272,0.928436911487759,0.8932203389830509,0.9454926624737946,0.9035714285714286,0.9111111111111111,0.9326923076923077,0.9821428571428571,0.9846938775510204,0.9564270152505446,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C40,0.9206521739130434,0.98,0.9759615384615384,1.0,0.8393393393393394,0.7863636363636364,0.7890625,0.7883720930232558,0.8524590163934426,0.9229910714285714,0.9283489096573209,0.7991304347826087,0.8587746625129803,0.8,0.8587746625129803,0.8572884811416922,0.9240196078431373,0.859538784067086,0.8611111111111112,0.8587746625129803,0.8679611650485437,0.859538784067086,0.927437641723356,0.9434343434343434,0.9376218323586745,0.9745370370370371,0.9325396825396826,0.9711538461538461,0.9035714285714286,0.9412997903563941,0.89,0.9298245614035088,0.9412997903563941,0.9382716049382716,0.9444444444444444,0.9644444444444444,0.984375,0.96,0.9869791666666666,0.9867021276595744,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C41,0.8506069094304388,0.9382716049382716,0.9740566037735849,0.9325396825396826,0.775,0.8478632478632478,0.847769028871391,0.7876923076923077,0.8494623655913979,0.7966101694915254,0.8621621621621621,0.9234234234234234,0.8637316561844863,0.856440511307768,0.8045871559633028,0.9240654205607477,0.8611111111111112,0.8587746625129803,0.8075471698113208,0.8608515057113187,0.9270152505446623,0.8055555555555556,0.869,0.8932203389830509,0.928436911487759,0.89,0.9722222222222222,0.9382716049382716,0.9783653846153846,0.9529914529914529,0.928436911487759,0.8932203389830509,0.9454926624737946,0.9035714285714286,0.9111111111111111,0.9326923076923077,0.9821428571428571,0.9846938775510204,0.9564270152505446,0.984375,0.9511111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C42,0.8518518518518519,0.9444444444444444,0.9382716049382716,0.9693396226415094,0.776,0.8489583333333334,0.789763779527559,0.7890625,0.7919354838709678,0.8531400966183574,0.865137614678899,0.8598598598598599,0.9259708737864077,0.8008849557522124,0.859538784067086,0.8580246913580247,0.9245049504950495,0.8603174603174604,0.8619201725997843,0.859538784067086,0.8696078431372549,0.8603174603174604,0.9289805269186713,0.9,0.8932203389830509,0.9298245614035088,0.9353535353535354,0.9730392156862745,0.9529914529914529,0.9821428571428571,0.8932203389830509,0.9325396825396826,0.9444444444444444,0.9412997903563941,0.9477124183006536,0.9682539682539683,0.9867021276595744,0.963718820861678,0.984375,0.9546485260770975,0.9813829787234043,0.9891304347826086,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C43,0.8494031221303948,0.9325396825396826,0.9704545454545455,0.9272030651340997,0.7740259740259741,0.7844444444444445,0.8466838931955211,0.7863636363636364,0.8483245149911817,0.795,0.8592920353982301,0.8544061302681992,0.8027027027027027,0.9261363636363636,0.8679245283018868,0.9231651376146789,0.859538784067086,0.8572884811416922,0.8055555555555556,0.8593272171253823,0.9241452991452992,0.8036363636363636,0.865686274509804,0.8868852459016393,0.9234972677595629,0.8838709677419355,0.96875,0.9325396825396826,0.9337231968810916,0.9,0.9754464285714286,0.9484126984126984,0.9393939393939394,0.896551724137931,0.9035714285714286,0.924074074074074,0.9382716049382716,0.9423868312757202,0.9035714285714286,0.98,0.9444444444444444,0.98,0.9477124183006536,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C44,0.8506069094304388,0.9382716049382716,0.9325396825396826,0.9659090909090909,0.775,0.7857142857142857,0.7883720930232558,0.7876923076923077,0.7904761904761904,0.8518518518518519,0.8621621621621621,0.7982758620689655,0.8580246913580247,0.8646464646464647,0.9283980582524272,0.8565656565656565,0.9235436893203883,0.8587746625129803,0.8603174603174604,0.8580246913580247,0.8663461538461539,0.8587746625129803,0.9259259259259259,0.8932203389830509,0.8868852459016393,0.9246704331450094,0.9298245614035088,0.9693396226415094,0.9,0.9382716049382716,0.9484126984126984,0.9787735849056604,0.9382716049382716,0.9353535353535354,0.9412997903563941,0.9607843137254902,0.9444444444444444,0.9111111111111111,0.9412997903563941,0.9477124183006536,0.9770408163265306,0.9477124183006536,0.9791666666666666,0.9895833333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C45,0.8518518518518519,0.9444444444444444,0.9779411764705882,0.9693396226415094,0.776,0.7870229007633588,0.8488888888888889,0.7890625,0.8506375227686703,0.8531400966183574,0.865137614678899,0.8571428571428571,0.859538784067086,0.8578578578578578,0.859538784067086,0.925,0.9245049504950495,0.8603174603174604,0.8619201725997843,0.9242788461538461,0.93,0.8603174603174604,0.9289805269186713,0.9,0.9337231968810916,0.9298245614035088,0.9759615384615384,0.9730392156862745,0.9454926624737946,0.9444444444444444,0.9337231968810916,0.9325396825396826,0.9775,0.9412997903563941,0.9477124183006536,0.9682539682539683,0.9511111111111111,0.9555555555555556,0.9477124183006536,0.9891304347826086,0.9813829787234043,0.9891304347826086,0.9836956521739131,0.984375,0.9791666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
